央视频道,#genre#
中央一台,http://111.20.33.93/TVOD/88888893/224/3221226231/index.m3u8
中央一台,http://223.110.243.159/ott.js.chinamobile.com/TVOD/3/224/3221227725/index.m3u8
中央一台,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228149/index.m3u8
中央一台,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227467/index.m3u8
中央一台,http://223.110.245.154/ott.js.chinamobile.com/TVOD/3/224/3221227634/index.m3u8
中央一台,http://117.148.179.155/TVOD/88888888/224/3221231468/index.m3u8
中央一台,http://117.148.179.155/TVOD/88888888/224/3221231471/index.m3u8
中央一台,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv1/1.m3u8?channel-id=ystenlive
中央一台,http://223.110.251.219:6610/gitv/live1/G_CCTV-1-HQ/G_CCTV-1-HQ/.m3u8
中央一台,http://39.135.138.60:18890/TVOD/88888910/224/3221225642/index.m3u8
中央一台,http://39.135.138.60:18890/TVOD/88888910/224/3221225918/index.m3u8
中央一台,http://39.135.138.60:18890/TVOD/88888910/224/3221225762/index.m3u8
中央一台,http://39.135.138.60:18890/TVOD/88888910/224/3221225618/index.m3u8
中央一台,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
中央一台,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
中央二台,http://111.20.33.93/TVOD/88888893/224/3221226195/index.m3u8
中央二台,http://223.110.245.164/ott.js.chinamobile.com/TVOD/3/224/3221227696/index.m3u8
中央二台,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227543/index.m3u8
中央二台,http://117.148.179.147/TVOD/88888888/224/3221231678/index.m3u8
中央二台,http://117.148.179.156/TVOD/88888888/224/3221232362/index.m3u8
中央二台,http://39.135.138.60:18890/TVOD/88888910/224/3221225643/index.m3u8
中央二台,http://39.135.138.60:18890/TVOD/88888910/224/3221225619/index.m3u8
中央二台,htttp://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
中央二台,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
中央三台,http://111.20.33.93/TVOD/88888893/224/3221226397/index.m3u8
中央三台,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227546/index.m3u8
中央三台,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228126/index.m3u8
中央三台,http://117.148.179.183/TVOD/88888888/224/3221231682/index.m3u8
中央三台,http://111.11.121.184:6610/030000001001/cctv-3/1.m3u8?channel-id=ystenlive
中央三台,http://39.135.138.60:18890/TVOD/88888910/224/3221225647/index.m3u8
中央三台,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
中央四台,http://111.20.33.93/TVOD/88888893/224/3221226223/index.m3u8
中央四台,http://111.20.33.93/TVOD/88888893/224/3221226191/index.m3u8
中央四台,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221227549/index.m3u8
中央四台,http://117.148.179.182/TVOD/88888888/224/3221231726/index.m3u8
CCTV4K UHD HDR,http://ye23.win/iptv/4k.cctv.php
CCTV4K UHD HDR,https://p.ggiptv.com/v/4k.m3u8
中央四台,http://39.135.138.60:18890/TVOD/88888910/224/3221225621/index.m3u8
中央四台,http://117.148.179.182/PLTV/88888888/224/3221231726/index.m3u8
CCTV4-欧洲,http://117.148.179.162/PLTV/88888888/224/3221231615/index.m3u8
CCTV4-欧洲,http://117.148.179.162/TVOD/88888888/224/3221231615/index.m3u8
CCTV4-美洲,http://117.148.179.160/PLTV/88888888/224/3221231654/index.m3u8
CCTV4-美洲,http://117.148.179.160/TVOD/88888888/224/3221231654/index.m3u8
中央五台+ ,http://111.20.33.93/TVOD/88888893/224/3221226221/index.m3u8
中央五台+,http://223.110.243.165/ott.js.chinamobile.com/TVOD/3/224/3221227631/index.m3u8
中央五台+,http://117.148.179.136/TVOD/88888888/224/3221231459/index.m3u8
中央五台+,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv05plus/1.m3u8?channel-id=ystenlive
中央五台+,http://117.148.179.139/TVOD/88888888/224/3221231535/index.m3u8
中央五台+,http://117.148.179.139/PLTV/88888888/224/3221231535/index.m3u8
中央五台+,http://117.148.179.136/PLTV/88888888/224/3221231459/index.m3u8
中央五台+,http://129.226.106.4/zycfcdn.gdwlcloud.com/TVOD/88888888/224/3221225494/index.m3u8
CCTV-5体育,http://39.135.138.60:18890/TVOD/88888910/224/3221225633/index.m3u8
中央五台+,http://39.135.138.60:18890/TVOD/88888910/224/3221225706/index.m3u8
中央五台+,http://39.135.138.60:18890/TVOD/88888910/224/3221225649/index.m3u8
CCTV5-体育频道,http://117.148.179.142/PLTV/88888888/224/3221232440/index.m3u8
CCTV6,http://111.20.33.93/TVOD/88888893/224/3221226393/index.m3u8
CCTV6,http://39.134.71.75/ott.js.chinamobile.com/TVOD/3/224/3221228123/index.m3u8
CCTV6,http://ott.js.chinamobile.com/PLTV/3/224/3221227664/index.m3u8
CCTV6,http://cctv.v.myalicdn.com/live/cctv6_1audio.m3u8
CCTV6,http://111.11.121.184:6610/030000001001/HD-2500k-1080P-cctv6/1.m3u8?channel-id=ystenlive
CCTV6,http://111.11.121.184:6610/030000001001/cctv-6/1.m3u8?channel-id=ystenlive
